epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.37071,2.58309,5.1775,2.69657,0.00225,0.58333,0.00281,0.00163,1.21807,3.75867,1.43609,0.00013336,0.00013336,0.00013336
2,2.49143,1.70711,3.9149,1.57316,0.00332,1,0.35537,0.23521,0.72728,3.38788,0.95605,0.000274038,0.000274038,0.000274038
3,3.59171,1.31721,2.71564,1.21443,0.00335,1,0.12737,0.10186,0.71946,3.32812,0.9478,0.000404814,0.000404814,0.000404814
4,4.6743,1.13445,2.26907,1.10341,0.00332,1,0.12828,0.0902,0.74945,3.40818,0.99503,0.000525688,0.000525688,0.000525688
5,5.76283,1.06051,2.24358,1.05398,0.00344,1,0.29322,0.09378,1.00233,3.4433,1.14567,0.000636661,0.000636661,0.000636661
6,6.82656,1.10817,1.81691,1.1198,0.00332,1,0.27723,0.24348,0.94021,3.03262,1.04551,0.000737731,0.000737731,0.000737731
7,7.93397,1.00601,1.4989,1.06287,0.0035,1,0.51233,0.42049,0.91616,2.98869,1.09681,0.000828899,0.000828899,0.000828899
8,9.00075,0.96355,1.49477,1.05369,1,0.25355,0.83087,0.67702,0.79232,2.67734,1.00778,0.000910165,0.000910165,0.000910165
9,10.0635,0.94576,1.42042,1.06257,0.00333,1,0.4491,0.36406,0.89045,2.87496,1.09074,0.00098153,0.00098153,0.00098153
10,11.1188,0.9464,1.33532,1.02976,1,0.30197,0.995,0.70867,1.01761,2.47186,1.10934,0.00104299,0.00104299,0.00104299
11,12.19,0.99169,1.29885,1.07223,0.94003,0.95161,0.995,0.79818,0.87358,1.64394,1.08184,0.00109455,0.00109455,0.00109455
12,13.2478,0.89332,1.26122,0.99584,0.91733,0.9837,0.995,0.8003,0.82641,1.25349,1.03501,0.00106188,0.00106188,0.00106188
13,14.2742,0.87946,1.19893,1.00822,0.87164,0.88795,0.995,0.81678,0.80556,1.34044,1.06288,0.00100687,0.00100687,0.00100687
14,15.323,0.86407,1.17963,0.99092,0.97423,1,0.995,0.88302,0.69088,1.03683,1.0129,0.000951857,0.000951857,0.000951857
15,16.3689,0.80403,1.05113,0.94846,0.97033,1,0.995,0.8057,0.79556,0.79632,1.05618,0.000896846,0.000896846,0.000896846
16,17.4377,0.79756,1.06366,0.95891,0.9442,0.9872,0.995,0.87353,0.61383,0.88852,0.9341,0.000841835,0.000841835,0.000841835
17,18.4698,0.85682,1.1362,1.00858,0.95195,0.99702,0.995,0.83905,0.68112,0.78479,0.97686,0.000786824,0.000786824,0.000786824
18,19.5214,0.77036,1.05661,0.95154,0.96347,1,0.995,0.86253,0.67349,0.78633,0.95434,0.000731813,0.000731813,0.000731813
19,20.6076,0.73152,0.92371,0.91344,0.97855,1,0.995,0.83905,0.60358,0.64523,0.93264,0.000676802,0.000676802,0.000676802
20,21.6743,0.71935,0.93285,0.94009,0.9441,0.99315,0.995,0.83347,0.62009,0.74033,0.94744,0.000621791,0.000621791,0.000621791
21,44.36,0.67392,1.19776,0.91476,0.96339,0.99678,0.995,0.85135,0.63837,0.80916,0.96704,0.00056678,0.00056678,0.00056678
22,45.4435,0.66644,1.153,0.92283,0.98773,1,0.995,0.83882,0.58313,0.64744,0.96876,0.000511769,0.000511769,0.000511769
23,46.5483,0.61067,1.07382,0.89093,0.98404,1,0.995,0.85545,0.61877,0.64017,1.00675,0.000456758,0.000456758,0.000456758
24,47.7452,0.59301,1.06418,0.88597,0.98601,1,0.995,0.84189,0.62944,0.61319,0.96437,0.000401747,0.000401747,0.000401747
25,48.964,0.57861,1.03038,0.90203,0.97982,1,0.995,0.82044,0.66307,0.58509,0.96109,0.000346736,0.000346736,0.000346736
26,50.0876,0.59926,1.00584,0.90585,0.98342,1,0.995,0.8113,0.66158,0.5629,0.96193,0.000291725,0.000291725,0.000291725
27,51.1943,0.5535,0.94674,0.88441,0.98688,1,0.995,0.8113,0.60908,0.53518,0.93921,0.000236714,0.000236714,0.000236714
28,52.2937,0.51844,0.91428,0.87527,0.98773,1,0.995,0.86103,0.57618,0.52606,0.92349,0.000181703,0.000181703,0.000181703
29,53.3609,0.51948,0.94938,0.86794,0.98723,1,0.995,0.83887,0.59778,0.51718,0.93157,0.000126692,0.000126692,0.000126692
30,54.4026,0.52091,0.9002,0.86035,0.9869,1,0.995,0.83887,0.61155,0.5156,0.94004,7.1681e-05,7.1681e-05,7.1681e-05
